,uf,valor_executado_rs,qtde_contemplados,valor_urbano,valor_rural,qtde_urbano,qtde_rural,min_valor,mediana_valor,max_valor,media_valor,sum_populacao,valor_executado_perc,perc_contemplados_populacao,valor_executado_percapita,perc_valor_urbano,perc_valor_rural,perc_qtde_urbano,perc_qtde_rural,1 milhão a 10 milhões,10 a 50 mil,2 a 10 mil,200 a 500 mil,50 a 200 mil,500 mil a 1 milhão,Acima de 10 milhões,Até 2 mil,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF,qtd_sexo_Feminino,qtd_sexo_Masculino,qtd_sexo_Não informado,valor_sexo_Feminino,valor_sexo_Masculino,valor_sexo_Não informado,total_qtd_cpf,total_valor_cpf,percentual_qtd_sexo_Feminino,percentual_qtd_sexo_Masculino,percentual_qtd_sexo_Não informado,percentual_valor_sexo_Feminino,percentual_valor_sexo_Masculino,percentual_valor_sexo_Não informado
10,MG,268555726.93,21514,255125918.09,13323150.58,19444,2036,375.0,4561.39,4843221.9,13189.712044103924,21322691,0.09436266433339517,0.0010089720851838072,12.594832750237764,0.9499924689988066,0.04961037596294763,0.9037835827833038,0.09463605094357162,2,5706,9103,16,942,2,0,5743,4224,17290,106502028.22,162053698.71,375.0,375.0,10000.0,3895.65,4843221.9,215000.0,30932.91554458321,9578.774010521338,8042,9248,0,77618593.46,84435105.25,0.0,17290,162053698.71,0.4651243493348757,0.5348756506651243,0.0,0.47896835479763294,0.521031645202367,0.0
11,MS,42351939.74,2188,40070834.35,2210161.36,1962,223,378.0,6545.8099999999995,2000000.0,20072.00935545024,2901895,0.014881238688294614,0.0007539900651126247,14.594580348358573,0.9461392936426576,0.052185599374391246,0.896709323583181,0.10191956124314443,2,597,1172,16,100,2,0,299,372,1816,18129391.55,24222548.19,594.0,378.0,14464.93,5925.92,2000000.0,325000.0,58107.024198717954,13471.940038932147,985,831,0,12267954.0,11954594.19,0.0,1816,24222548.19,0.5424008810572687,0.45759911894273125,0.0,0.5064683493978839,0.49353165060211607,0.0
12,MT,48393906.410000004,2434,44952788.94,3341117.47,2109,324,386.7,5000.0,3043166.66,20877.44021138913,3836399,0.017004209884300348,0.0006344491279452424,12.614409087793007,0.9288935792691259,0.06904004487039302,0.8664749383730485,0.13311421528348397,3,646,1050,9,230,1,0,495,637,1797,25045058.35,23348848.06,386.7,400.0,15000.0,4387.925,3043166.66,300000.0,46725.85513059702,13102.608338945005,977,820,0,11810022.79,11538825.27,0.0,1797,23348848.06,0.5436839176405119,0.45631608235948806,0.0,0.5058075139146715,0.49419248608532856,0.0
13,PA,124061836.12,7325,114101717.2,9065594.9,5723,1463,400.0,4166.67,22109764.92,17863.47532325414,8664306,0.04359171756343763,0.0008454225877987228,14.318727445683475,0.9197164959708803,0.07307319626666832,0.7812969283276451,0.1997269624573379,3,1537,3584,7,181,0,2,2011,475,6850,72158060.99,51903775.13,980.0,400.0,18600.0,4000.0,22109764.92,137836.0,173874.84575903614,7948.510739663094,3241,3609,0,23209556.47,28694218.66,0.0,6850,51903775.13,0.4731386861313869,0.5268613138686131,0.0,0.447165093711749,0.5528349062882509,0.0
14,PB,70229086.67,10558,62536400.13,7581108.51,8599,1952,380.0,2000.0,1300000.0,7191.9187578085,4145040,0.024676456568768237,0.0025471406789801788,16.942921339721693,0.8904629562371041,0.10794827142808974,0.8144534949801099,0.18488350066300435,2,1212,3568,2,146,1,0,5627,1280,9278,25707283.76,44521802.91,396.0,380.0,7010.0,1943.72,1300000.0,135396.0,25888.503282980866,5075.444928180574,4528,4750,0,18959236.1,25562566.81,0.0,9278,44521802.91,0.48803621470144426,0.5119637852985557,0.0,0.42584160705094865,0.5741583929490515,0.0
15,PE,141508869.19,13472,128199311.19,13132912.0,11192,2276,400.0,3000.0,2657366.4,11449.864001132777,9539029,0.04972209707169954,0.0014123030761307048,14.834724707305114,0.9059454147560911,0.09280628186185848,0.8307600950118765,0.16894299287410927,1,2263,4712,18,580,2,0,5896,1410,12062,49079558.6,92429310.59,500.0,400.0,14440.705,2500.0,2657366.4,330000.0,49276.66526104418,8134.2348490715485,5600,6462,0,42431670.06,49997640.53,0.0,12062,92429310.59,0.46426794893052564,0.5357320510694744,0.0,0.4590715844264959,0.540928415573504,0.0
16,PI,57291132.26,6084,53420778.46,3870353.8,4911,1173,393.12,1800.0,4300000.0,10123.896847499558,3375646,0.020130436034751394,0.0018023216889448716,16.971901751546223,0.9324441035231166,0.06755589647688348,0.8071992110453649,0.19280078895463512,3,507,1695,8,221,1,0,3649,790,5294,38469447.67,18821684.59,400.0,393.12,12000.0,1500.0,4300000.0,100000.0,59550.22859133127,3754.575022940355,2086,3207,1,6961844.14,11854840.45,5000.0,5294,18821684.59,0.3940309784661881,0.6057801284472988,0.00018889308651303362,0.3698842208682448,0.6298501280963182,0.000265651035436887
17,PR,153275262.28,6043,146325251.69,6937410.59,5577,465,376.0,9000.0,2204250.74,26716.970939515428,11824665,0.05385646506399284,0.0005110504187645062,12.962334432307385,0.9546566713596362,0.04526112359427502,0.9228859837828893,0.07694853549561476,2,2082,2502,91,427,12,0,927,2147,3896,87564353.31,65710908.97,376.0,383.0,12600.0,7169.665,2204250.74,461000.0,46800.83020309995,16997.13113554061,1951,1944,1,33968376.64,31730532.33,12000.0,3896,65710908.97,0.5007700205338809,0.4989733059548255,0.0002566735112936345,0.5169366422173235,0.48288073970315065,0.0001826180795258599
18,RJ,186074274.97,5733,179909333.33,4900673.3,5418,280,403.2,8000.0,4000000.0,37133.16203751746,17219679,0.06538108328872339,0.00033293303551128916,10.805908459153041,0.9668683828487633,0.026337188742453062,0.945054945054945,0.04884004884004884,8,2036,2299,86,642,8,0,654,1757,3976,144823462.11,41250812.86,500.0,403.2,40000.0,5735.43,4000000.0,135725.0,132379.7642687386,10531.226157773806,1949,2024,3,18171749.06,23042167.8,36896.0,3976,41250812.86,0.49019114688128773,0.5090543259557344,0.0007545271629778672,0.44051856921395943,0.5585869999265756,0.0008944308594650079
19,RN,54056010.1,5763,48213860.34,4774892.82,4828,793,380.0,3000.0,1779047.2,10115.271351047904,3446071,0.01899370828758561,0.001672339310478513,15.686272888747794,0.8919241403649213,0.08833232070156062,0.8377581120943953,0.13760194343224016,2,1161,2145,2,109,2,0,2342,976,4787,25812796.4,28243213.7,380.0,400.0,10604.33,2500.0,1779047.2,150000.0,35801.38196948682,6109.282651957603,2260,2527,0,11854300.9,16388912.8,0.0,4787,28243213.7,0.47211196991852933,0.5278880300814707,0.0,0.41972209770165075,0.5802779022983493,0.0
20,RO,8829526.32,549,7788303.69,1041222.63,476,73,980.0,9442.76,291890.5,16472.99686567164,1746227,0.0031024385064564596,0.0003143921151144725,5.056345091445729,0.8820749163359423,0.11792508366405775,0.8670309653916212,0.13296903460837886,0,191,322,0,30,0,0,6,81,468,2330867.27,6498659.05,980.0,1320.0,20322.2,9442.76,291890.5,125000.0,33780.68507246377,13915.758137044968,198,270,0,2793373.77,3705285.2800000003,0.0,468,6498659.05,0.4230769230769231,0.5769230769230769,0.0,0.4298384864489852,0.5701615135510149,0.0
21,RR,16461023.95,674,14950099.12,1505836.25,602,71,1000.0,10000.0,722164.03,25760.600860719875,716793,0.005783924607881117,0.0009402993611823776,22.9648224103751,0.9082119779067571,0.09147889308550577,0.8931750741839762,0.10534124629080119,0,216,343,1,79,1,0,34,84,590,5873624.44,10587399.51,4000.0,1000.0,30000.0,10000.0,722164.03,180000.0,94735.87806451613,18349.04594454073,271,319,0,4453064.5,6134335.01,0.0,590,10587399.51,0.45932203389830506,0.5406779661016949,0.0,0.42060040294068396,0.579399597059316,0.0
22,RS,151151437.87,7073,143945822.55,6874321.18,6381,678,375.0,7066.0,4440000.0,24164.89814068745,11229915,0.05311021499442669,0.0006298355775622523,13.459713441286066,0.9523285029799234,0.04547969425148545,0.902163155662378,0.0958574862151845,3,1940,3566,39,624,7,0,894,3583,3490,123823277.56,27328160.31,375.0,425.0,10803.855,5000.0,4440000.0,149843.8,44033.88248933144,7937.310575079872,1595,1895,0,12062390.8,15265769.51,0.0,3490,27328160.31,0.45702005730659023,0.5429799426934098,0.0,0.4413905167112949,0.5586094832887052,0.0
23,SC,82122937.3,4830,75496681.44,6054352.86,4258,537,375.04,10000.0,1750000.0,18588.261045722047,8058441,0.028855609430113737,0.0005993715161530624,10.19092120920163,0.919312970555426,0.0737230432696664,0.8815734989648033,0.11118012422360249,0,2026,2070,19,223,0,0,492,2096,2734,47802530.5,34320406.8,375.04,380.0,10287.955,9545.1,1750000.0,175000.0,28086.09312573443,12636.379528718702,1419,1314,1,16840136.48,17471933.3,8337.02,2734,34320406.8,0.5190197512801755,0.4806144842721288,0.000365764447695684,0.49067415133319464,0.5090829313829696,0.00024291728383592473
24,SE,40435720.910000004,3069,35679741.18,4744979.73,2406,661,400.0,3000.0,1873154.54,13805.29904745647,2291077,0.014207935175792151,0.001339544677023077,17.64921951990265,0.8823817252922076,0.11734623800973307,0.7839687194525904,0.21537960247637666,1,371,1535,19,135,1,0,1007,388,2681,22358072.38,18077648.53,569.98,400.0,15000.0,3000.0,1873154.54,160000.0,70530.19678233439,6920.99867151608,1177,1504,0,7619721.24,10457927.29,0.0,2681,18077648.53,0.43901529280119356,0.5609847071988064,0.0,0.42149957873973554,0.5785004212602644,0.0
25,SP,555842429.28,16525,541077454.47,14284612.92,15740,733,375.0,9000.0,15333333.33,36244.28985915493,45973194,0.1953068481391166,0.0003594485951965835,12.090576723470637,0.9734367618730987,0.025699032976851558,0.9524962178517398,0.04435703479576399,24,5256,7229,414,1189,61,0,2352,4979,11546,375674173.39,180168255.89,375.0,399.17,14566.67,7222.5,15333333.33,600000.0,95591.39272010178,15795.91933105383,5431,6114,1,85543445.64,94622810.25,2000.0,11546,180168255.89,0.47037935215659105,0.5295340377619955,8.661008141347653e-05,0.47479754531357476,0.5251913539517808,1.1100734644515186e-05
26,TO,32114845.82,2153,27842457.81,3990743.64,1782,350,400.0,4867.8,950000.0,15491.966145682585,1577342,0.011284221903863158,0.0013649544613660196,20.360103148207553,0.8669653270656742,0.12426476098834965,0.8276823037621923,0.1625638643752903,0,540,968,12,94,1,0,538,321,1832,13810737.01,18304108.81,800.0,400.0,19957.02,3912.92,950000.0,158600.0,51920.06394736842,10129.556618705035,878,954,0,7567211.48,10736897.33,0.0,1832,18304108.81,0.47925764192139736,0.5207423580786026,0.0,0.41341600175944326,0.5865839982405568,0.0
